title,intro,order,votes,comensales,duración,para,dificultad,coste,types,ingredientes,url
¡Listas en media hora!,"Si no sabes cómo hacer una espinacas guisadas ricas de verdad no te pierdas esta receta fácil y rápida de verdad que te enseñamos en RecetasGratis, porque en tan solo 30 minutos podrás tener listo estas estupendas espinacas guisadas con huevo típicas de la comunidad de Andalucía, España. Sigue leyendo el paso a paso y anímate a prepararlas.","['1\nReúne los ingredientes de las espinacas guisadas primero y después, coloca en un mortero 1 ajo crudo, una pizca de sal y los otros dos ajos fritos enteros junto con las rodajas de pan fritas también.', '2\nLlena un vaso de agua, vierte un poquito en el mortero y machácalo todo bien. Luego agrega el resto de agua dentro y esta será la picada para el guiso de espinacas.', '3\nPela la cebolla, pícala y póchala en una sartén con el fuego alto.', '4\nAñade las espinacas descongeladas a la sartén junto con un chorrtio de vinagre y remueve.\nTruco: También puedes utilizar espinacas frescas pero tendrás que limpiarlas muy bien y cortarlas previamente.', '5\nAgrega la picada, la hoja de laurel, la sal y las especias al gusto junto con la pastilla de caldo concentrado, y deja cocinar las espinacas guisadas durante unos 15 minutos a fuego alto.', '6\nCuando el líquido se haya consumido del todo y se estén empezando a freír añade los huevos cascándolos directamente por encima y remuévelos suavemente por todo el guiso de espinacas.', '7\nUna vez estén cuajados, sirve las espinacas guisadas con huevo recién hechas con unas cuantas rebanadas de pan casero sin masa madre o pan de baguette casera.']",Valoración: 3 (2 votos),4 comensales,30m,Entrante,Dificultad baja,,"['Recetas españolas', 'Recetas andaluzas']","['½ kilogramo de espinacas congeladas', '3 rebanadas de pan', '3 dientes de ajo', '1 cebolla', '2 huevos', '1 vaso de agua', '1 pastilla de caldo de ave concentrado', '1 pizca de sal', '1 pizca de comino', '1 pizca de colorante', '1 hoja de laurel', 'Aceite de oliva virgen extra', '1 chorro de vinagre']",https://www.recetasgratis.net/receta-de-espinacas-guisadas-71374.html
"¡Fáciles, ligeras y económicas!","NO hay nada como unas buenas, ricas y facilísimas tortas de papa al horno para preparar como aperitivo, entrante o acompañamiento cuando no tienes mucho tiempo para cocinar pero aún así quieres algo sabroso. Descubre todos los pasos para hacer estas tostas o tortillas de papas al horno gracias a la receta que ha compartido en esta ocasión nuestra querida Linilla-cocinilla desde la app de RecetasGratis y verás cómo en menos de media hora las tienes listas para comer.","['1\nLavamos las patatas y las ponemos en la olla rápida hasta que se cuezan, yo las dejé 10 minutos a fuego bajo después de subir la segunda anilla.', '2\nMientras se cuecen las patatas preparamos el aceite de oliva con sal y pimienta al limón (al gusto).', '3\nPrecalentamos el horno, preparamos una bandeja con papel vegetal y la untamos con el aceite con ayuda de una brocha de silicona.', '4\nSacamos las patatas ya cocidas de la olla. Deben quedar tiernas.', '5\nLas chafamos con la piel haciendo una especie de tortita.', '6\nPonemos las tortas de papa encima del papel de horno y ponemos por encima el aceite aliñado.', '7\nLa ponemos en el horno y dejamos que se tuesten.', '8\nUna vez ya estén listas las tortas de papa al horno pues las podemos comer solas o con alguna salsa como por ejemplo:Salsa brava caseraAlioli casero (ajoaceite)Mayonesa casera']",Valoración: 4 (2 votos),4 comensales,30m,Acompañamiento,Dificultad baja,,"['Recomendada para veganos', 'Recomendada para vegetarianos', 'Recetas al horno']","['4 patatas medianas con piel', 'Aceite de oliva', 'Pimienta', 'Sal', 'Jugo de limón']",https://www.recetasgratis.net/receta-de-tortas-de-patata-al-horno-65456.html
Coliflor rebozada al horno,"La coliflor es uno de los alimentos más versátiles porque podemos cocinarla de múltiples formas y acompañarla con todo un abanico de ingredientes. No obstante, en esta ocasión será la única protagonista del plato y la serviremos con una deliciosa salsa de naranja. Esta receta es ideal para aquellas personas que no consumen carne, ya que simula el tradicional pollo a la naranja, ¡pero sin pollo! Para ello, rebozaremos la coliflor y la cocinaremos al horno, otorgándole una textura crujiente.Quédate en RecetasGratis y descubre conmigo cómo hacer coliflor rebozada al horno crujiente y fácil, ¡te encantará! Luego, puedes decidir preparar la salsa que propongo o no, ¡como más te guste!","['1\nEmpezamos la receta de coliflor rebozada al horno preparando los ingredientes del empanado. Para ello, colocamos en un bol el huevo batido con la leche de coco y en otro el pan rallado o panko. Así mismo, cogemos una bandeja de horno y la forramos con papel de aluminio o de hornear.', '2\nPasamos los trozos de coliflor primero por el huevo y luego por el pan rallado. Los vamos colocando en la bandeja. Para que la coliflor rebozada quede más crujiente, recomendamos realizar un segundo empanado. Aparte, precalentamos el horno a 200 ºC.', '3\nHorneamos la coliflor rebozada durante 15-20 minutos, o hasta que observemos que está lista.', '4\nMientras se hornea, aprovechamos para preparar la salsa. Este paso es totalmente opcional, pero aporta un toque increíble a la receta. Para hacerla, colocamos en una olla todos los ingredientes excepto el almidón y cocinamos durante 10 minutos a fuego medio.', '5\nDisuelve el almidón en dos cucharadas de agua y añádelo a la salsa para aportar consistencia y espesor.', '6\nCuando la salsa de naranja empiece a espesar y a adoptar cierto brillo, deja reducir un poco y apaga el fuego.', '7\nSirve la receta de coliflor rebozada al horno con la salsa de naranja y disfruta de este exquisito plato. Esta es una forma mucho más saludable de cocinar coliflor, puesto que no lleva nada de aceite, y de lograr que los más pequeños también consuman este alimento tan beneficioso para su desarrollo. Si quieres conocer más recetas de coliflor, no te pierdas estas ideas:Albóndigas de coliflorColiflor al horno con bechamel y queso']","Valoración: 3,5 (2 votos)",2 comensales,45m,Cena,Dificultad baja,,"['Recomendada para vegetarianos', 'Receta sin lactosa', 'Recetas al horno']","['2 tazas de coliflor en floretes pequeños', '2 tazas de panko o pan rallado', '1 huevo', '2 cucharadas soperas de leche de coco', '½ taza de jugo de naranja', '¼ taza de sirope de arce o miel', '1 cucharada sopera de vinagre de arroz', '1½ cucharadas soperas de salsa de soja', '1 diente de ajo', '¼ cucharada postre de jengibre (fresco o en pasta)', '1 cucharada postre de sriracha u otra salsa de pimienta', '1 cucharada postre de pasta de tomate o kétchup', '2 cucharadas de postre de almidón de maíz', '2 cucharadas soperas de agua']",https://www.recetasgratis.net/receta-de-coliflor-rebozada-al-horno-71304.html
¡Muy fácil y rápido! 3 PASOS,"¡Podemos hacer tantas recetas con espinacas que nunca se acaban las ideas! Como por ejemplo esta receta de soufflé de espinacas súper fácil y rápido de hacer que os enseñamos esta vez en RecetasGratis. Se trata de un entrante muy básico y sencillo para preparar siempre que no tengas mucho tiempo para cocinar pero quieras elaborar algo especial. Este soufflé de espinacas casero se puede hacer al horno o al microondas, así que comprueba los ingredientes, varíalos a tu gusto y elabóralo en 3 simples pasos.","['1\nBate todos los ingredientes en una batidora o licuadora eléctrica, poniendo el queso, la sal y la pimienta al gusto, y dejando las espinacas para el final para que no queden demasiado molidas.\nTruco: Si prefieres usar espinacas congeladas en esta receta, debes descongelarlas primero y escurrirlas muy bien.', '2\nDistribuye la mezcla del soufflé de espinacas fácil por los ramequines untados y enharinados previamente, o viértela sobre una fuente o bandeja de horno si no lo quieres en moldes individuales.', '3\nEspolvorea el queso parmesano a tu gusto por encima y cuece el soufflé de espinacas al horno a 180 °C durante 20 minutos o en el microondas a máxima potencia y en 3 ciclos de 1 minuto para que se cocine bien.\nTruco: Si haces el soufflé de espincaas en el microondas, la consistencia final será similar a un pudin. En el horno se quedará más ligero, así que es la mejor opción si no tienes prisa.', '4\nDespués de cocinarlo, sirve el soufflé de espinacas fácil y rápido inmediatamente, ya que tiende a bajarse cuando se enfría.Te recomiendo otras recetas de soufflés salados con vegetales como las siguientes:Soufflé de queso y brócoliSoufflé de coliflorSoufflé de calabaza']","Valoración: 4,3 (8 votos)",4 comensales,30m,Entrante,Dificultad baja,,"['Recomendada para vegetarianos', 'Recetas al horno']","['2 tazas de hojas de espinaca crudas', '2 huevos', '¾ taza de leche (180 mililitros)', '½ cebolla', '1 diente de ajo', '1 cucharada sopera de aceite de oliva', '1 cucharada sopera de harina de trigo', '1 puñado de queso parmesano (u otro) rallado', '1 pizca de pimienta negra', '1 pizca de sal']",https://www.recetasgratis.net/receta-de-souffle-de-espinacas-71134.html
Pimientos del piquillo rellenos de bacalao,"Aprende cómo preparar unos pimientos del piquillo rellenos de bacalao una receta clásica y estupenda con los que se te hará la boca agua. Un plato ideal para preparar como entrante en una comida de fiesta o una celebración. Los pimientos de piquillo admiten muchos rellenos, ya que se pueden rellenar de lo que más nos gusten, pero los pimientos rellenos de bacalao son una maravilla, deliciosos y muy buenos, un clásico que podemos preparar en estas fiestas.Verás lo sabrosos que están estos pimientos del piquillo rellenos de bacalao fresco con solo probar el primer bocado... ¿Te los vas a perder? Sigue el paso a paso de RecetasGratis y consigue estos fabulosos pimientos del piquillo rellenos de bacalao al horno en menos de una hora.","['1\nPreparamos los ingredientes para hacer los pimientos del piquillo rellenos de bacalao fresco. El pescado lo tendremos desalado al punto de sal previamente mejor.', '2\nPicamos la cebolla. Pondremos una sartén al fuego con un chorro de aceite, añadimos la cebolla y la dejamos pochar.', '3\nCuando la cebolla esté pochadita añadimos el bacalao picado y lo mezclamos todo junto.', '4\nA la sartén añadimos la mantequilla, removemos y añadimos la harina, dejamos cocinar unos minutos todo junto.\nTruco: Si prefieres hacer unos pimientos del piquillo rellenos de bacalao sin bechamel sáltate este y los siguientes pasos.', '5\nCuando esté todo mezclado vamos añadiendo la leche y removiendo hasta que se vaya formando una masa cremosa. Añadimos un poco de sal y nuez moscada rallada.Visita esta receta de salsa bechamel rápida si prefieres saber cómo se hace más detalladamente.', '6\nCuando ya esté que se despega de la sartén ya estará lista la masa para rellenar los pimientos del piquillo con bacalao. La ponemos en una fuente esta masa y la dejamos en la nevera hasta que esté fría.', '7\nUna vez enfriada, con ayuda de una cuchara iremos rellenando los pimientos del piquillo y poniendo en una fuente.', '8\nCubrimos los pimientos rellenos de bacalao con la crema de leche o nata líquida para cocinar, y después cubrimos con el queso rallado al gusto.', '9\nMetemos los pimientos del piquillo relleno de bacalao al horno a 180 ºC calor arriba y abajo, y los dejamos hasta que quede el queso dorado. ¡Y listos para comer!Acompáñalos de una deliciosa ensalada de pasta con aguacate y tendrás un menú súper completo y nutritivo, o sírvelos como el típico entrante o aperitivo/tapa. ¡Espero que te gusten!Si no, visita mi blog Cocinando con Montse donde encontrarás muchas más recetas con pimientos fáciles y ricas.']",Valoración: 4 (1 voto),4 comensales,45m,Entrante,Dificultad baja,,['Recetas españolas'],"['200 gramos de bacalao desalado sin espinas', '1 cebolla', '1 lata de pimientos del piquillo (12 unidades)', '50 gramos de mantequilla', '50 gramos de harina', '500 mililitros de leche', '1 bote de crema de leche o nata para cocinar', '1 paquete de queso rallado', '1 pizca de sal', '1 pizca de nuez moscada', '1 chorro de aceite de oliva']",https://www.recetasgratis.net/receta-de-pimientos-del-piquillo-rellenos-de-bacalao-71044.html
Hamburguesas de berenjena fáciles y ligeras,"¡Sorpresa! Estas deliciosas hamburguesas vegetarianas no contienen carne sino..., ¡berenjena! La textura de esta carne resulta muy jugosa y el sabor ahumado de los vegetales le da un toque único e irresistible.Esta receta maravillosa es muy sencilla y exquisita. Toda una alternativa culinaria, perfecta para cualquiera que desee propuestas sanas y sabrosas a la hora de comer. RecetaGratis te invita a seguir el paso a paso de esta sencilla preparación para descubrir cómo hacer hamburguesas de berenjena.","['1\nPara cocinar las verduras existen varias alternativas: al horno, al grill o a la parrilla. Si no posees ninguna de las anteriores opciones, puedes colocarlas una a una sobre la hornilla de la cocina y aplicar fuego alto. Espera hasta que queden negras y las introduces en una bolsa por 20 minutos. Pasado el tiempo saca los vegetales, retira la parte negra debajo de grifo y reserva.Si optas por el horno, coloca las verduras en una bandeja de metal en el nivel más alto. Aplica calor arriba y abajo. Coloca la temperatura a 250 grados, durante aproximadamente 45 minutos. Estira papel absorbente sobre la encimera y sitúa las verdura allí, así escurrirá todo el agua mientras alcanzan la temperatura ambiente. Una vez frías será muy fácil retirarles la piel. Reserva.\nTruco: Lo importante es lograr un sabor ahumado en las verduras.', '2\nCorta los vegetales muy finamente, reserva. También puedes saltearlos en una sartén, hasta lograr una textura tierna. Si te apetece agregar otras verduras a las hamburguesas de berenjena también puedes hacerlo.', '3\nColoca los vegetales en un cuenco grande. Agrega el ajo y el perejil siguiendo las medidas o al gusto.', '4\nAñade los dos huevos. Sazona con sal y pimienta. Si las hamburguesas de berenjena son para niños, suprime la pimienta.', '5\nRemueve hasta integrar todos los ingredientes de nuestras hamburguesas vegetarianas de berenjena.', '6\nIncorpora la avena o el pan rallado a la preparación. Integra muy bien, hasta que se unifiquen todos los ingredientes. Deja reposar la mezcla durante 20 minutos. Pasado el tiempo puedes detectar si necesitas más avena o no, todo depende de la densidad de la preparación. Si se te pega en las manos o está muy húmeda, agrega más avena pero poco a poco hasta lograr la consistencia deseada.\nTruco: Cuando reposa la preparación la avena o el pan rallado se hinchan y absorben la humedad de las verduras.', '7\nCon las manos forma varias bolitas. Luego, aplasta cada una con las palmas hasta lograr la forma de una hamburguesa. Si lo deseas, después de prepararlas puedes empanizarlas con avena o pan rallado.\nTruco: Preferiblemente utiliza un sartén anti-adherente.', '8\nPrecalienta una sartén con poco aceite, agrega las hamburguesas de berenjena y cocina por cada lado hasta que se doren. Si empanizaste las hamburguesas, agrega un poco más de aceite. Recuerda colocarlas después sobre papel absorbente para escurrir la grasa.En esta ocasión la hamburguesa es bastante ligera, de manera que opta por una cantidad de aceite mínima para cocinarlas. Ideal para todo aquel que prefiere la comida más saludable.', '9\n¡Qué exquisita receta de hamburguesas de berenjena! Las puedes ofrecer a tus comensales de muchas maneras, como la típica hamburguesa con pan, también con arroz blanco y ensalada de tomate, acompañadas de puré o incluso solas. Su textura es algo tostada por afuera y jugosa por dentro, si nadie lo dice dudarán sobre el tipo de carne gracias al toque ahumado.Saludables, novedosas y sabrosas... ¡Qué esperas para apuntarte! Prueba y me dices cómo te quedaron.']",Valoración: 5 (3 votos),8 comensales,45m,,Dificultad baja,,"['Recomendada para vegetarianos', 'Recomendada para perder peso']","['1 berenjena grande', '1 pimiento rojo', '1 cebolla mediana', '2 huevos', '75 gramos de avena o pan rallado', '1 cucharada sopera de aceite de oliva (extra virgen)', '2 dientes de ajo', '1 manojo de perejil']",https://www.recetasgratis.net/receta-de-hamburguesas-de-berenjena-faciles-y-ligeras-71031.html
Nuggets de coliflor veganos,"Los nuggets son un entrante o un picoteo consumido ampliamente, sobre todo, por los niños. Sin embargo, no es la opción más saludable debido a su alto contenido en grasas saturadas. La receta que traigo a RecetasGratis es de unos deliciosos nuggets de coliflor y queso con una textura muy suave y cremosa. Para agregarles un toque de sabor y enmascarar un poco esta verdura, puesto que no es la preferida de muchos niños y adultos, vamos a sazonar la coliflor y añadir queso rallado dentro que hará estos nuggets de coliflor veganos irresistibles.","['1\nSepara la coliflor en ramilletes y cuécela en agua salada hirviendo durante unos 10 minutos hasta que quede blanda. Escurre la coliflor y aplástala con un tenedor.', '2\nSazona la coliflor con la sal, la pimienta, el ajo y la cebolla en polvo, y mezcla bien.', '3\nRalla el queso y añádelo a la coliflor. Yo he utilizado un queso vegano, pero puedes utilizar cualquier otro tipo de queso amarillo.Échale un vistazo a estas recetas recomendadas de diferentes tipos por si te interesa prepararlos de forma casera:Queso vegano de anacardosQueso vegano de papa y zanahoriaQueso ahumado veganoQueso vegano tipo mozzarellaQueso fresco veganoQueso de almendras veganoMozzarella vegana para pizza', '4\nAñade los guisantes (de lata o congelados y cocidos) y amasa hasta que se integren los ingredientes de los nuggets de coliflor.', '5\nColoca el pan rallado en un plato. Coge pequeñas porciones de masa con las manos, forma bolitas y aplástalas dándoles forma de un nugget.', '6\nPasa cada nugget vegano de coliflor por el pan rallado por ambos lados. Rectifica la forma con las manos.', '7\nCalienta una sartén con aceite y fríe los nuggets hasta que se doren por ambos lados. Elimina el exceso de aceite con papel de cocina. También puedes cocinar los nuggets de coliflor al horno a 180 ºC durante 20-30 minutos.', '8\nAsí quedan los nuggets de coliflor veganos por dentro con el queso derretido. Sírvelos con guarnición de verduras o ensalada por ejemplo. Puedes acompañarlos de mayonesa, all i oli u otra salsa, como las que descubrirás en mi blog Vegspiration.']","Valoración: 1,8 (4 votos)",2 comensales,30m,Plato principal,Dificultad baja,,['Recomendada para veganos'],"['1 coliflor pequeña', '4 cucharadas soperas de guisantes', '5 cucharadas soperas de queso vegano rallado u otro', '1 cucharadita de cebolla en polvo', '1 cucharadita de ajo en polvo', '1 pizca de pimienta negra', '¼ taza de pan rallado', '1 cucharadita de sal', 'Aceite para freír']",https://www.recetasgratis.net/receta-de-nuggets-de-coliflor-veganos-71042.html
Pastel de calabaza salado vegano,"La calabaza es una hortaliza muy versátil y con la que puedes preparar miles de recetas de entrantes, principales, cremas y sopas e incluso postres. Si estás buscando una receta sencilla de un entrante de verduras, prueba preparar esta deliciosa receta de pastel de calabaza salado vegano que traigo a RecetasGratis. Con harina de garbanzos para sustituir el huevo y los lácteos, queda muy rico y nutritivo gracias a sus propiedades. Puedes servir el pastel salado de calabaza con mostaza, mayonesa vegana, salsa de tomate o incluso barbacoa, acompañado de cualquier guarnición que te guste, por ejemplo, arroz basmati y verduras horneadas.","['1\nCorta la calabaza en trozos y cuécela en agua hirviendo hasta que quede blanda durante unos 10 minutos. Escúrrela y aplástala con un tenedor haciéndola puré.', '2\nCorta la cebolla en juliana, los tomates secos en tiras y el apio en trozos.', '3\nCalienta una olla o una sartén honda con aceite y sofríe la verdura hasta que comience a ablandarse.', '4\nAñade la calabaza remueve bien y cocina un minuto removiendo de vez en cuando.', '5\nIncorpora la harina para seguir con la preparación del pastel salado vegano.', '6\nEn un bol mezcla la harina de garbanzos con el agua añadiéndola poco a poco y removiendo para obtener una mezcla un poco espesa. Añade la mezcla a la olla junto con la levadura de cerveza, sal y la pimienta. Mezcla hasta que queden integrados todos los ingredientes.', '7\nCubre un molde rectangular de horno con papel vegetal y vierte la mezcla dentro. Hornea el pastel salado de calabaza vegano durante 20-30 minutos hasta que se dore bien.', '8\nDesmolda el pastel de calabaza salado vegano y córtalo en trozos rectangulares. Sírvelo acompañado de verduras, granos o legumbres como unos tomates verdes fritos en tempura o una ensaladilla rusa vegana.Visita mi blog Vegspiration para encontrar muchos más platos salados veganos deliciosos y muy fáciles de hacer.']",Valoración: 4 (1 voto),2 comensales,45m,Entrante,Dificultad baja,,"['Recomendada para veganos', 'Receta sin azúcar']","['2 tazas de calabaza', '1 cebolla', '1 apio', '2 tomates secos', '½ taza de harina de garbanzos', '3 cucharadas soperas de agua', '2 cucharadas soperas de levadura de cerveza', '3 pizcas de pimienta negra', '1 cucharadita de sal', '2 cucharadas soperas de aceite']",https://www.recetasgratis.net/receta-de-pastel-de-calabaza-salado-vegano-71034.html
Espaguetis de calabacín con tomate,"Si la pasta es una de tus comidas favoritas, sobre todo los espaguetis, y te gusta experimentar en la cocina, te va a encantar esta receta vegana. Se trata de los espaguetis de calabacín o zucchini, una alternativa saludable, baja en grasas y sin gluten. Su preparación es muy sencilla y puedes cocinarlos con verdura y servirlos con tu salsa favorita, por ejemplo, con hummus de garbanzos y pimiento, como he hecho yo en esta receta.Sigue leyendo y descubre en RecetasGratis cómo hacer espaguetis de calabacín con tomate, una opción sabrosa a la par que nutritiva.","['1\nLava los calabacines o zucchinis y córtalos en tiras finas como si fueran espaguetis en un robot de cocina o utilizando un utensilio especial o un spiralizer.', '2\nCorta la cebolla y la berenjena en dados, pica el ajo, corta los tomates cherry por la mitad y separa el brócoli en ramilletes pequeños.', '3\nCalienta una sartén con aceite y sofríe la cebolla y el ajo hasta que se doren. Incorpora la berenjena y el brócoli, cocina la verdura durante 2-3 minutos y añade los tomates cherry, los piñones y los espaguetis de calabacín. Remueve y sigue cocinando hasta que la verdura empiece a ablandarse.', '4\nMientras, prepara la salsa que acompañará los espaguetis de calabacín al ajillo triturando los garbanzos junto con el ajo, el pimiento rojo troceado, la sal, el zumo de limón, el comino y un generoso chorro de aceite. Si el hummus de garbanzos y pimiento queda espeso añade un poco de agua y vuelve a triturar hasta que obtengas la consistencia deseada.También puedes preparar una salsa de tomate natural en lugar de hummus para potenciar el sabor de la receta. En tal caso, consulta la receta de tomate sencilla.', '5\nSirve la receta de espaguetis de calabacín con tomate cherry con el hummus de garbanzos y pimiento rojo por encima y disfruta de este plato tan nutritivo, fácil y rápido de hacer, ¡además de vegano! En mi blog Vegspiration encontrarás muchas más recetas deliciosas que te encantarán.']",,2 comensales,30m,Plato principal,Dificultad baja,,"['Recomendada para veganos', 'Recomendada para vegetarianos', 'Receta sin gluten']","['2 calabacines amarillos grandes', '½ berenjena', '1 cebolla', '2 dientes de ajo', '8 tomates cherry', '½ taza de brócoli', '1 cucharada sopera de piñones', '1 cucharada sopera de aceite vegetal', '1 taza de garbanzos cocidos', '½ pimiento rojo', '2 dientes de ajo', '1 cucharadita de sal', '2 cucharadas soperas de zumo de limón', '½ cucharadita de comino', '1 chorro de aceite']",https://www.recetasgratis.net/receta-de-espaguetis-de-calabacin-con-tomate-71015.html
Guiso de coliflor y patatas,"El Aloo gobi en un plato hindú que combina unos ingredientes muy populares - coliflor y patatas - con especias. Tradicionalmente se utilizan las especias como comino y cilantro, además de jengibre, cúrcuma y verduras como tomate, cebolla y guisantes en su versión más moderna. Este guiso de coliflor con patatas que comparto en RecetasGratis es un plato muy aromático y sencillo de cocinar. Puedes servirlo como un plato principal acompañado de arroz basmati o como una guarnición.","['1\nPrepara las verduras. Corta la cebolla y las patatas en trozos medianos y el pimiento en dados. Separa la coliflor en ramilletes y pica el ajo, el jengibre y la cúrcuma muy finitos, corta también los tomates cherry por la mitad y pon a descongelar los guisantes en agua.', '2\nPon a calentar una olla con aceite y añade los granos de comino. Cocínalos durante unos 2 minutos hasta empiecen a soltar el aroma.', '3\nIncorpora a la olla el ajo y la mitad del jengibre, de la cúrcuma, de la cebolla y del pimiento cortados y sofríelos.', '4\nIncorpora la otra mitad en el vaso de la batidora junto con la mitad de los tomates cherry, una cucharadita de sal y una pizca de pimienta negra. Tritura hasta que quede una salsa homogénea.', '5\nAñade las patatas a la olla, remueve bien.', '6\nIncorpora la coliflor y las semillas de cilantro en polvo. Cocina la verdura durante 2 minutos removiendo de vez en cuando.', '7\nAñade al guiso de patatas y coliflor los guisantes escurridos y los tomates cherry restantes.', '8\nTambién vierte dentro la salsa de tomate que habías preparado. Mezcla bien y cocina el estofado hasta que la coliflor quede blanda. Comprueba el punto de sal y de pimienta.', '9\nSirve la receta de Aloo gobi o guiso de coliflor con patatas con un poco arroz basmati o como guarnición de un plato de tempeh rebozado por ejemplo.Tiene muchas más recetas veganas súper fáciles y sabrosas de otros países o de otras culturas en mi blog Vegspiration por si quieres echarles un ojo.']",Valoración: 4 (1 voto),4 comensales,45m,Entrante,Dificultad baja,,"['Recomendada para veganos', 'Recomendada para vegetarianos', 'Recomendada para perder peso', 'Recetas indias']","['1 coliflor pequeña', '1 cebolla', '1 pimiento rojo', '3 dientes de ajo', '6 patatas cocidas', '1 taza de guisantes congelados', '1 trozo de jengibre fresco pequeño', '1 trozo de cúrcuma fresca pequeño', '20 tomates cherry', '1 cucharadita de comino en grano', '1 chorro de aceite', '½ cucharadita de semillas de coriandro/cilantro en polvo', '1 cucharadita de sal', '1 pizca de pimienta']",https://www.recetasgratis.net/receta-de-guiso-de-coliflor-y-patatas-70985.html
Acelgas con patatas y jamón,Si en casa no os gusta esta verdura ¡no te preocupes! Porque con esta receta de acelgas con patatas y jamón serrano o jamón de York te aseguro que quedan muy sabrosas y son muy sencillas de hacer. Siguiendo estos sencillos pasos que te enseñamos en RecetasGratis en media hora podrás degustar este plato de acelgas con jamón y patatas tan rico y nutritivo. ¡Ya verás como te encanta!,"['1\nPrepara las acelgas. En primer lugar corta la parte del tallo final y separa las hojas. Luego lávalas de una en una bajo el chorro del agua muy bien para quitarles todos los residuos que puedan tener. Después con ayuda de un cuchillo quítales los hilitos fibrosos de las pencas. Por último, córtalas en trozos medianos a tu gusto (tallos blancos incluidos) y reserva en un plato.', '2\nPela y corta las patatas en trozos también y resérvalas junto con las acelgas.', '3\nEcha las acelgas y las patatas cortadas en una olla, cúbrelas con agua y sube el fuego al máximo. Cuando el agua hierva, añade una pizca de sal y cuece las verduras durante unos 10 minutos aproximadamente.', '4\nMientras tanto, pela y corta los ajos en láminas y pon una sartén con un poco de aceite a fuego medio.', '5\nCuando el aceite esté caliente, agrega los ajos laminados y cuando se empiecen a dorar, agrega el jamón en taquitos. Cocínalo todo unos 3 o 4 minutos más hasta que se dore bien.\nTruco: Puedes utilizar jamón de York o serrano para hacer esta receta de acelgas con jamón y patatas ya que queda bien con los 2.', '6\nUna vez están cocidas las verduras, escúrrelas bien y viértelas en la sartén. Cocina las acelgas rehogadas con patatas y jamón durante unos 5 minutos más para que se impregnen bien de todos los sabores.', '7\nEn el último momento, rectifica de sal si es necesario (aunque no te pases si has utilizado jamón serrano porque ya es muy salado), agrega una pizca de pimentón y saltea todo 1 minuto más para dar un extra de sabor.', '8\nSirve las acelgas con patatas y jamón recién hechas. De postre te recomiendo que esta tarta de queso al horno esponjosa, fácil y cremosa o esta tarta de boniato y chocolate por ejemplo. ¡Qué aproveche!']",Valoración: 5 (2 votos),2 comensales,30m,Plato principal,Dificultad baja,,[],"['1 manojo de acelgas', '2 patatas', '1 paquete de jamón en tacos (serrano o de York)', '2 dientes de ajo', '1 pizca de pimentón dulce (o picante si te gusta)', '1 pizca de sal', '1 chorro de aceite de oliva virgen extra', 'Agua']",https://www.recetasgratis.net/receta-de-acelgas-con-patatas-y-jamon-70961.html
Tomates verdes fritos en tempura,"Los tomates verdes fritos son todo un clásico de la gastronomía sureña de los Estados Unidos. Se trata de una receta sencilla de rodajas de tomate verde empanadas y fritas, cuya fama se expandió en el año 1991 tras el estreno de la película basada en la novela de Fannie Flagg con el mismo nombre. Los tomates verdes fritos eran uno de los platos estrella que se servían en el Whistle Stop Cafe. Para esta receta de tomates verdes fritos en tempura que he versionado en RecetasGratis debes utilizar los tomates de la variedad especial que se caracteriza por su color, ya que no se pueden consumir los tomates comunes de la huerta sin madurar, que son otro variedad diferente a esta.","['1\nCorta los tomates verdes en rodajas de 3-4 milímetros de grosor.', '2\nEn un bol o plato mezcla la harina de garbanzos con el agua añadiéndola poco a poco y mezclando con un tenedor hasta obtener una mezcla homogénea y espesa. En otro plato vierte la harina precocida de maíz (PAN).', '3\nPasa cada rodaja de tomate primero por la mezcla de tempura y luego por la harina de maíz cubriéndolas bien.', '4\nCalienta una sartén con abundante cantidad de aceite y fríe las rodajas de tomates verdes hasta que se doren por ambos lados. Coloca las rodajas sobre papel absorbente para eliminar el exceso de aceite.', '5\nSirve los tomates verdes fritos en tempura súper crujientes como entrante o guarnición de unos muslos de pavo al horno jugosos o un plato de tempeh en salsa  por ejemplo.Para conocer más receta de verduras súper deliciosas y servirlas como acompañantes o como primeros platos no dudes en visitar mi blog Vegspiration.']",Valoración: 3 (1 voto),2 comensales,15m,Acompañamiento,Dificultad baja,,[],"['2 tomates verdes', '½ taza de harina de garbanzos', '½ taza de agua (120 mililitros)', '½ taza de harina precocida de maíz (PAN)', '1 cucharadita de sal', '1 pizca de pimienta negra', 'Aceite para freír']",https://www.recetasgratis.net/receta-de-tomates-verdes-fritos-en-tempura-70953.html
